fein,employer_name,lca_count,certified_count,worksite_cities
36-2167011,The Field Museum of Natural History,6,6,Chicago
36-2114545,Continental Casualty Company,6,6,Chicago
36-1924025,Walgreen Co.,6,6,"Chicago,Berwyn,Deerfield"
36-0727175,American Medical Association,6,5,"Chicago,CHICAGO"
35-2196697,SIRITEK INC,6,6,"SCHAUMBURG,Schaumburg"
27-4360786,"Headlands Tech Organization, LLC",6,6,Chicago
27-1703575,"66degrees, LLC",6,6,"Chicago,CHICAGO"
26-2599733,LanzaTech Inc.,6,6,Skokie
25-1228638,"Michael Baker International, Inc.",6,6,Chicago
22-3653321,TCG Digital Solutions LLC,6,6,"CHICAGO,Chicago,Arlington Heights"
20-5852270,"Global Applications, LLC",6,6,Schaumburg
20-3952701,"Prime Healthcare Management, Inc.",6,6,"Chicago,Des Plaines"
13-5266470,"Citibank, N.A.",6,6,Schaumburg
04-3686496,Divihn Integration Inc,6,5,"CHICAGO,NILES,NICE"
04-3512883,VIRTUSA CORPORATION,6,6,"CHICAGO,NORTHBROOK"
04-3313799,LEK Consulting LLC,6,6,Chicago
04-3219960,"ANSYS, Inc.",6,6,"Evanston,Chicago"
04-2727260,"Analysis Group, Inc.",6,6,Chicago
95-4607698,Intelsat US LLC,5,5,Chicago
95-2018373,"Latham & Watkins, LLP",5,5,Chicago
92-0678860,Harbor Employees LLC,5,5,Chicago
90-0399879,"Cosmic Consulting Group, Inc",5,5,Inverness
88-1039244,VISTALTECH INC,5,5,Chicago
88-0624128,CINFRACS INC,5,5,Hoffman Estates
87-3917386,HGS CX Technologies Inc.,5,5,"Palatine,Chicago"
87-2579062,Ocuinfotech LLC,5,5,Lincolnwood
83-2935019,Sibel Health Inc.,5,5,Chicago
82-2344731,Open Avenues Foundation,5,5,"Chicago,Des Plaines,Oaklawn"
80-0864026,"fairlife, LLC",5,5,"Chciago,Chicago"
74-2099724,"United Airlines, Inc.",5,5,Chicago
73-1686853,GLOBAL INFOTECH INC,5,5,SCHAUMBURG
61-1591182,Neuberger Berman Group LLC,5,5,Chicago
59-3264661,KFORCE INC.,5,5,CHICAGO
59-2921318,StoneX Group Inc.,5,5,Chicago
58-2400405,"INNOVA SOLUTIONS, INC.",5,5,"CHICAGO,ARLINGTON HEIGHTS,SCHAUMBURG"
47-0680568,"HDR Engineering, Inc.",5,5,Rosemont
45-4683454,"Optum Services, Inc.",5,5,"Schaumburg,Arlington Heights,EVANSTON"
45-1928103,"Lakeshore Engineering, LLC",5,4,Chicago
42-0714325,RSM US LLP,5,5,Chicago
39-1929719,"Experis US, LLC",5,5,Chicago
38-2182248,"Vizient, Inc.",5,5,Chicago
36-4915818,"Life Fitness, LLC",5,5,"Franklin Park,Rosemont"
36-4518443,"F.H. Paschen, S.N. Nielsen & Associates LLC",5,4,"Chicago,Skokie"
36-4466253,Cars.com,5,5,Chicago
36-4398436,"Geneva Trading USA, LLC",5,5,Chicago
36-4283145,"Marathon Capital, LLC",5,5,Chicago
36-4160760,"Jones Lang LaSalle Americas, Inc.",5,5,Chicago
36-4062778,"Yash Technologies, Inc",5,5,Chicago
36-3556041,"SAP America, Inc.",5,5,Chicago
36-2903176,ROBERT BOSCH LLC,5,5,"Mt. Prospect,Mount Prospect"
36-2264021,"RTC Industries, Inc.",5,1,Rolling Meadows
36-2214610,"William Blair & Company, LLC",5,5,Chicago
36-1729848,Sargent & Lundy LLC,5,5,Chicago
35-2618250,"Deinde Financial, LLC",5,5,Chicago
33-2330611,"AUROSHREE GLOBAL, LLC",5,4,Schaumburg
33-1514687,"ABC Supply NSC, LLC",5,5,Chicago
33-1091601,eTek IT Services Inc,5,5,"Rolling Meadows,Schaumburg,SCHAUMBURG,Westchester"
31-0676865,"Fifth Third Bank, National Association",5,5,"Chicago,CHICAGO,Chicaco"
30-0431740,"Fresenius Kabi USA, LLC",5,5,"Melrose Park,Schaumburg"
27-3756754,"Ahold Delhaize USA Services, LLC",5,5,Chicago
27-3176557,Kashiv BioSciences LLC,5,5,Chicago
27-1769505,"RWE Clean Energy Services, LLC",5,5,Chicago
26-1552131,"Hoerr Schaudt Landscape Architects, LLC",5,5,Chicago
26-1355948,"EGURU SOLUTION, LLC",5,5,Inverness
23-2175755,"Comcast Cable Communications, LLC",5,5,"Wheeling,Palatine,Schaumburg,Chicago"
22-3721259,"NB Ventures, Inc.",5,5,Chicago
20-5276211,"Early Warning Services, LLC",5,5,Chicago
20-3570200,Cquent Systems Inc.,5,5,"Arlington Heights,Chicago,Skokie"
20-3361916,CitiusTech Inc.,5,5,"Chicago,Hoffman Estates,Arlington Heights,Rosemont"
20-2278027,"Astellas Pharma US, Inc.",5,4,Northbrook
20-1932740,Progress Rail Locomotive Inc.,5,5,LaGrange
20-1391406,Woolpert Inc,5,5,Chicago
16-1636875,Verinon Technology Solutions Ltd,5,5,Arlington Heights
13-5381590,"BDO USA, P.C.",5,5,Chicago
13-5108880,GOLDMAN SACHS & CO. LLC,5,5,Chicago
13-3977880,"Live Nation Worldwide, Inc.",5,4,"Chicago,CHICAGO"
13-1938568,The Hertz Corporation,5,5,Des Plaines
94-3342927,Resource Innovations Inc.,4,4,Chicago
94-1663305,"M. Arthur Gensler Jr. & Associates, Inc.",4,4,Chicago
93-4359579,Elite IT Technologies LLC,4,4,"Chicago,Hoffman Estates"
93-4094802,Xylem Services USA LLC,4,4,"Morton Groove,Morton Grove"
93-2816005,ISAM Hybrid Information Systems LLC,4,4,Chicago
90-1020290,Deloitte Transactions and Business Analytics LLP,4,4,"Chicago,Park Ridge"
88-3709826,Saylani Welfare Trust USA,4,4,Chicago
88-3628054,IT LAND LLC,4,2,Prospect Heights
88-2527144,50 STARS IT TECHNOLOGIES LLC,4,4,"STREAMWOOD,Streamwood"
88-2408372,"Syenex, Inc",4,1,Evanston
88-0533597,Allyd IT Solution LLC,4,4,SCHAUMBURG
87-4809603,CARNEGIE HEALTH AND LIFE SCIENCES INC.,4,4,CHICAGO
87-2320720,SolveIT Services Inc,4,4,"Chicago,Schaumburg"
86-1275571,Lactalis Cheese and Dairy Holding Inc.,4,4,"CHICAGO,Chicago"
85-4223203,"BlueCloud Services, Inc.",4,2,"Chicago,Schaumburg"
85-2237120,IL Fantuan Ltd,4,4,Chicago
84-3881497,Lessen LLC,4,4,Chicago
84-3786653,Diyo Technologies LLC,4,3,Chicago
83-3304493,"Engineering Square, LLC",4,4,Chicago
83-2576653,"Smart Techlink Solutions, Inc",4,4,"Rolling Meadows,Chicago"
