fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
36-4481037,"Mastercard Technologies, LLC",1,1,"Glendale Heights",DUPAGE
36-4479457,"Toyota Technological Institute at Chicago",1,1,Chicago,COOK
36-4477983,"SIELC Technologies, Inc.",1,1,Wheeling,COOK
36-4477350,"Lopez Martin & Associates, Inc.",1,1,Chicago,COOK
36-4477319,"Flender Corporation",1,1,Elgin,KANE
36-4476244,"Zakat Foundation of America",1,1,Bridgeview,COOK
36-4468210,"ELEMENT TECHNOLOGIES INC",1,1,Chicago,COOK
36-4452621,"Base Ten Architects, Inc.",1,1,"La Grange",COOK
36-4449889,"The Thalerus Group, Inc",1,1,Naperville,DUPAGE
36-4449137,"VINAKOM COMMUNICATIONS INC.",1,1,Schaumburg,COOK
36-4448501,"EMERGENCY MEDICAL SPECIALISTS II, SC",1,1,CHICAGO,COOK
36-4444674,"Drywall Master Tools, Inc.",1,1,Westchester,COOK
36-4444620,"Convergint Technologies LLC",1,1,Schaumburg,COOK
36-4439074,"Lawndale Educational and Regional Network Charter School",1,1,"North Chicago",COOK
36-4437180,"Chicago Jewish Day School",1,1,Chicago,COOK
36-4430849,"Proteintech Group Inc.",1,1,Rosemont,COOK
36-4429093,"RGLA Solutions, Inc.",1,1,"Schiller Park",COOK
36-4418641,"Biolife Plasma LLC",1,1,Bannockburn,LAKE
36-4418377,"SHARP INTERFACES INC.",1,1,Willowbrook,DUPAGE
36-4412606,"Moons' Industries (America), Inc.",1,1,Itasca,DUPAGE
36-4411852,"C.O.W.M. INC.",1,1,CHICAGO,COOK
36-4408953,"Lundbeck LLC",1,1,Deerfield,LAKE
36-4403256,"CCTY USA BEARING COMPANY",1,1,"Lake Zuirch",LAKE
36-4394197,"Takeda Pharmaceuticals America Inc.",1,1,Bannockburn,LAKE
36-4392970,"Forte Grp, Inc.",1,1,Chicago,COOK
36-4389830,"Tilton, Kelly  Bell, PLLC",1,1,Chicago,COOK
36-4389471,"Capri Capital Partners, LLC",1,1,Chicago,COOK
36-4389230,"Thomson Linear LLC",1,1,Marengo,MCHENRY
36-4389200,"Aon Property Risk Consulting, Inc.",1,1,Chicago,COOK
36-4388576,"Deutsche Boerse Systems, Inc.",1,1,Chicago,COOK
36-4382050,"W. Capra Consulting Group, Inc.",1,1,Chicago,COOK
36-4362244,"Glass Management Services, Inc.",1,1,Lisle,DUPAGE
36-4348433,"MERZ & ASSOCIATES, P.C.",1,1,"Oak Park",COOK
36-4334458,"Valent BioSciences LLC",1,1,Libertyville,LAKE
36-4333972,"Centennial Counseling Center, P.C.",1,1,"St. Charles",KANE
36-4331472,"Flying Food Group, LLC",1,1,"Schiller Park",COOK
36-4327855,"Guaranteed Rate, Inc.",1,1,"Lake Zurich",LAKE
36-4323269,"Nouryon Surface Chemistry LLC",1,1,Chicago,WILL
36-4321796,"COFCO International Grains US LLC",1,1,"Oakbrook Terrace",DUPAGE
36-4311558,"Universal Business Consulting, Inc.",1,1,Naperville,DUPAGE
36-4304598,"Magellan Development Group LLC",1,1,Chicago,COOK
36-4300538,"Scholarships.com, LLC",1,1,"Highland Park",LAKE
36-4300300,"Corrugated Supplies Company, LLC",1,1,"Bedford Park",COOK
36-4298390,"Meridian Technology Solutions, Inc.",1,1,"Oak Brook",DUPAGE
36-4295682,"J.A. Watts, Inc.",1,1,Chicago,COOK
36-4293383,"WarmlyYours.com, Inc.",1,1,"Lake Zurich",LAKE
36-4292481,"IMPACT NETWORKING, LLC",1,1,Mettawa,COOK
36-4287073,"Charlie Baggs, Inc.",1,1,Chicago,COOK
36-4284422,"JT Worldwide Corporation",1,1,Bensenville,COOK
36-4278859,"von Weise Associates",1,1,Chicago,COOK
36-4277938,"Heidrick & Struggles, Inc.",1,1,Chicago,COOK
36-4277050,"Packaging Corporation of America",1,1,"Lake Forest",COOK
36-4273377,"CRITICAL MASS (U.S.) INC.",1,1,Chicago,COOK
36-4272656,"Rebound Fitness and Rehabilitation, Inc.",1,1,Northbrook,COOK
36-4271298,"LEVENFELD PEARLSTEIN, LLC",1,1,Chicago,COOK
36-4265380,"SOFTCON USA INC.",1,1,"PARK RIDGE",COOK
36-4264748,"Wells Lamont LLC",1,1,Skokie,COOK
36-4263342,"Certec Consulting, Inc.",1,1,"Des Plaines",COOK
36-4259890,"Synergy55 LLC",1,1,Schaumburg,COOK
36-4259142,"ALIN MACHINING COMPANY LLC",1,1,"Melrose Park",COOK
36-4258067,"SYSTEGRATION, INC.",1,1,Waukegan,LAKE
36-4251536,"WBK Engineering, LLC",1,1,"St. Charles",KANE
36-4236727,"Chicago Venture Partners",1,1,Chicago,COOK
36-4235980,"International Transload Logistics Inc.",1,1,Aurora,DUPAGE
36-4221999,"Able Masonry Development Co",1,1,Romeoville,WILL
36-4215589,"Panto Ulema Inc.",1,1,Chicago,COOK
36-4213041,"KCS Corporation",1,1,Schaumburg,COOK
36-4209590,"MEDICAL DIAGNOSTIC SERVICES INC.",1,1,SKokie,COOK
36-4204612,"Mintel Group, Ltd.",1,1,Chicago,COOK
36-4200559,"sharda inc",1,1,SCHAUMBURG,COOK
36-4194154,"Global CFS, Inc.",1,1,Bensenville,DUPAGE
36-4179827,"AMERICASH LOANS, LLC",1,1,"Des Plaines",COOK
36-4169779,"Beghou Consulting, LLC",1,1,Evanston,COOK
36-4163838,"CMT US Holdings LLC",1,1,CHICAGO,COOK
36-4160692,"Bestview International Company",1,1,Glenview,COOK
36-4150867,"CSG Government Solutions, Inc.",1,1,Chicago,COOK
36-4150003,"Thirdwave, LLC",1,1,Chicago,COOK
36-4149170,"Mercury Partners 90 Bi, Inc.",1,1,"Elk Grove Village",COOK
36-4143824,"Indigo Systems and Technology  Consulting Inc.",1,1,Barrington,LAKE
36-4135679,"National Board of Osteopathic Medical Examiners",1,1,Chicago,COOK
36-4131488,"Sunrise Electronics Inc.",1,1,"Elk Grove Village",DUPAGE
36-4121934,"Reyes Holdings, LLC",1,1,ROSEMONT,COOK
36-4120610,"Great Dane LLC",1,1,Chicago,COOK
36-4119503,"Clinical Computer System Inc.",1,1,"Hoffman Estates",COOK
36-4114983,"OROCHEM TECHNOLOGIES, INC",1,1,NAPERVILLE,DUPAGE
36-4114862,"Transcontinental Fund Administration, LLC",1,1,Chicago,COOK
36-4107097,"STL Architects, Inc.",1,1,CHICAGO,COOK
36-4104320,"ASC Communications LLC",1,1,Chicago,COOK
36-4095683,"Griffith Foods Worldwide Inc.",1,1,Lombard,DUPAGE
36-4090081,"JAQ Corp, Int P.C.",1,1,Chicago,COOK
36-4083899,"Synthesis Technology LLC",1,1,Chicago,COOK
36-4069640,"Netronix Corporation",1,1,"South Barrington",COOK
36-4056101,"Les Enluminures, Ltd.",1,1,Chicago,COOK
36-4053683,"PRINT MANAGEMENT PARTNERS INC.",1,1,"OAK BROOK",DUPAGE
36-4050624,"Bayser, Inc.",1,1,Skokie,COOK
36-4049160,"Morton Grove Pharmaceuticals, Inc",1,1,"Morton Grove",COOK
36-4046482,"ShopperTrak RCT Corporation",1,1,Chicago,COOK
36-4042385,"Universal Beauty Products, Inc.",1,1,"Glendale Heights",DUPAGE
36-4040943,"Granite Innovation, Inc.",1,1,Chicago,COOK
36-4038171,"Comtek International, Inc.",1,1,Chicago,COOK
36-4033761,"ENKAY TECHNOLOGY SOLUTIONS INC.",1,1,LISLE,DUPAGE
36-4015560,"Loyola University Medical Center",1,1,Maywood,COOK
36-4011781,"JTEKT Machinery Americas Corporation",1,1,"Arlington Heights",COOK
36-4011543,"Cision US Inc.",1,1,Chicago,COOK
36-4009697,"Four Seasons Heating and Air Conditioning, LLC",1,1,"Bedford Park",COOK
36-4008943,"Banner & Witcoff, Ltd.",1,1,Chicago,COOK
36-4006154,"Embers Academy",1,1,Niles,COOK
36-4003164,"CS2 Design Group, LLC",1,1,"Elk Grove Village",COOK
36-4000662,"Best Value Distributors, Inc.",1,1,Chicago,COOK
36-3999004,"International Code Council, Inc.",1,1,Palatine,COOK
36-3995026,"Top-Line Furniture Warehouse Corp.",1,1,Inverness,COOK
36-3993653,"Intelligent Medical Objects, Inc.",1,1,Rosemont,COOK
36-3989759,"Dynamic Manufacturing, Inc.",1,1,Hillside,COOK
36-3986941,"GEM Capital, L.P.",1,1,Chicago,COOK
36-3966030,"Accurate Group, Inc.",1,1,Lincolnshire,LAKE
36-3965273,"Tecma Associates, Inc",1,1,Schaumburg,COOK
36-3924258,"M&R Printing Equipment Inc",1,1,Roselle,DUPAGE
36-3917723,"HEITMAN ARCHITECTS INCORPORATED",1,1,Itasca,DUPAGE
36-3900736,"PMI Kyoto Packaging Systems Inc.",1,1,"Elk Grove Village",COOK
36-3894315,"Neri Brothers Construction, Inc.",1,1,Roselle,DUPAGE
36-3892853,"Diversified Services Network, Inc.",1,1,Chicago,COOK
36-3880636,"Prime Architectural Metal and Glass Inc",1,1,SCHAUMBURG,COOK
36-3877226,"Order Express, Inc.",1,1,Chicago,COOK
36-3876390,"Blue Ribbon Taxi Association, Inc.",1,1,Chicago,COOK
36-3845253,"PrimeCare Community Health, Inc.",1,1,Chicago,COOK
36-3844018,"Center for Seniors",1,1,Chicago,COOK
36-3843536,"Hiwin Corporation",1,1,Huntley,KANE
36-3842610,"Reyes Group LTD",1,1,Markham,COOK
36-3828325,"UCAL Systems, Inc.",1,1,Elgin,KANE
36-3820042,"Solving IT International, Inc.",1,1,Chicago,COOK
36-3803935,"AL AIR, inc",1,1,Norridge,COOK
36-3795742,"Littelfuse, Inc.",1,1,Rosemont,COOK
36-3794501,"AMERICAN CHROME CHICAGO LLC",1,1,Bolingbrook,WILL
36-3788558,"International Services, Inc.",1,1,"Arlington Heights",COOK
36-3788217,"HazChem Environmental LLC",1,1,Addison,DUPAGE
36-3786506,"William Worn Architecture, P.C. dba: WJW Architects",1,1,Chicago,COOK
36-3783657,"Global Gear LLC",1,1,"Downers Grove",DUPAGE
36-3778451,"Autotech Technologies, LP",1,1,"Carol Stream",DUPAGE
36-3771769,"Athletico Ltd.",1,1,Chicago,COOK
36-3764927,"Salvi & Maher, LLP",1,1,Libertyville,LAKE
36-3759802,"Krueck & Sexton Architects, Ltd",1,1,Chicago,COOK
36-3756591,"Patzik, Frank & Samotny Ltd.",1,1,Chicago,COOK
36-3743752,"SB Friedman Development Advisors, LLC",1,1,Chicago,COOK
36-3736971,"Weichai America Corp.",1,1,"Rolling Meadows",COOK
36-3735857,"Cotter Consulting",1,1,"Burr Ridge",COOK
36-3725607,"LISU L TAN & CO., LTD",1,1,NAPERVILLE,DUPAGE
36-3706894,"Lin & Lincoln CPA's LLC",1,1,Glenview,COOK
36-3703046,"Magnet-Schultz of America, Inc.",1,1,Westmont,DUPAGE
36-3697809,"INTEGRATED SOFTWARE SPECIALISTS, INC.",1,1,SCHAUMBURG,COOK
36-3691830,"Silliker Inc.",1,1,Chicago,COOK
36-3687863,"Solesence Inc.",1,1,Romeoville,WILL
36-3687394,"Chicago Public Media, Inc.",1,1,Chicago,COOK
36-3684017,"Frontrunner Systems, Inc.",1,1,Bolingbrook,WILL
36-3667988,"J & L Food Services Inc",1,1,Chicago,COOK
36-3647244,"Fullerton Enginerring Consultants, LLC",1,1,Schaumburg,COOK
36-3640803,"Pet Factory, LLC",1,1,Mundelein,LAKE
36-3617077,"Aon Risk Consultants, Inc.",1,1,Chicago,COOK
36-3605728,"McShane Construction Company LLC",1,1,Rosemont,COOK
36-3576475,"Traffic Control & Protection LLC",1,1,Bartlett,KANE
36-3558465,"Classic Residence Management Limited Partnership",1,1,Chicago,COOK
36-3555790,"ARCH Venture Management, LLC",1,1,Chicago,COOK
36-3547803,"Richard M Colombik & Associates, Inc",1,1,Schaumburg,COOK
36-3546438,"Business Environment Scientific Technologies, Incorporated",1,1,"Park Ridge",COOK
36-3538416,"SSI (U.S) Inc.",1,1,Chicago,COOK
36-3537319,"LR Management Company",1,1,Chicago,COOK
36-3536157,"Chem-Impex International, Inc.",1,1,"Wood Dale",DUPAGE
36-3527342,"Infrastructure Engineering Inc.",1,1,Chicago,COOK
36-3524515,"HydraForce, Inc. a Bosch Rexroth Company",1,1,Lincolnshire,LAKE
36-3521721,"Joint Commission Resources",1,1,"Oakbrook Terrace",DUPAGE
36-3508628,"Marion Inc.",1,1,Chicago,COOK
36-3491013,"Sievert Electric Service and Sales Company, Inc.",1,1,"Forest Park",COOK
36-3483660,"Ventfabrics, Inc.",1,1,Chicago,COOK
36-3466802,"Evanston Community Foundation",1,1,Evanston,COOK
36-3459814,"Thai Imports Limited",1,1,Chicago,COOK
36-3450799,"Forklift Exchange, Inc.",1,1,"Bedford Park",COOK
36-3445028,"Ornua Foods North America, Inc.",1,1,Evanston,COOK
36-3435795,"UGN, Inc.",1,1,"Downers Grove",DUPAGE
36-3427463,"Kernow Capital Corporation",1,1,Cary,MCHENRY
36-3426053,"Gewalt Hamilton Associates, Inc.",1,1,"Vernon Hills",LAKE
36-3377698,"Midwestern University",1,1,"Downers Grove",DUPAGE
36-3373630,"Premier International Enterprises, LLC",1,1,Chicago,COOK
36-3369327,"Mapei Corporation",1,1,"West Chicago",DUPAGE
36-3348933,"Mega Circuit Inc.",1,1,Addison,DUPAGE
36-3333786,"Gate Gourmet, Inc.",1,1,Chicago,COOK
36-3331541,"Eckenhoff Saunders Architects Inc.",1,1,Chicago,COOK
36-3325378,"Eagle Market Makers, Inc.",1,1,Chicago,COOK
36-3309888,"NEOPOLITAN LIGHTHOUSE",1,1,CHICAGO,COOK
36-3305702,"Modern Process Equipment Corporation",1,1,CHICAGO,COOK
36-3304396,"College Park Athletic Club",1,1,Bannockburn,LAKE
36-3270709,"PMA Financial Network, LLC",1,1,Naperville,DUPAGE
36-3268123,"Greif Packaging LLC",1,1,Alsip,COOK
36-3248784,"RJW Logistics, INC",1,1,Bolingbrook,WILL
36-3236980,"MEDGYN PRODUCTS INC.",1,1,Westmont,DUPAGE
36-3235090,"AXA ASSISTANCE USA, INC.",1,1,Chicago,COOK
36-3221636,"Automated Business Designs, Inc.",1,1,Chicago,COOK
36-3215689,"International Contractors, Inc.",1,1,"South Elgin",KANE
36-3208430,"American College of Healthcare Executives",1,1,Chicago,COOK
36-3194086,"Numina Group Incorporated",1,1,Woodbridge,DUPAGE
36-3168815,"Fujikawa Johnson Gobel Architects, Inc.",1,1,"Oak Brook",DUPAGE
36-3157232,"Pork King Packing, Inc.",1,1,Marengo,MCHENRY
36-3136317,"Barclay Products Ltd",1,1,Gurnee,LAKE
36-3130297,"Harman Becker Automotive Systems, Inc",1,1,"Vernon Hills",LAKE
36-3114352,"Renishaw Inc.",1,1,"West Dundee",KANE
36-3108701,"Zacks Investment Research, Inc.",1,1,Chicago,COOK
36-3103952,"Cordogan Clark & Associates",1,1,Chicago,COOK
36-3100018,"ABB Inc.",1,1,"Oakbrook Terrace",DUPAGE
36-3065373,"Burling Builders, Inc.",1,1,Chicago,COOK
36-3064732,"Net56, Inc.",1,1,"Deer Park",LAKE
36-3027981,"Duff & Phelps Investment Management Co.",1,1,Chicago,COOK
36-2997921,"Tomoegawa (U.S.A.) Inc.",1,1,Schaumburg,COOK
36-2995778,"Hydro, Inc.",1,1,Chicago,COOK
36-2970624,"Illinois Retina Associates, PLLC",1,1,Harvey,COOK
36-2968295,"Fashion World Enterprises, Inc.",1,1,Niles,COOK
36-2964007,"Optima Inc.",1,1,Glencoe,COOK
36-2960981,"National Futures Association",1,1,Chicago,COOK
36-2948734,"S&B Finishing Co., Inc.",1,1,Chicago,COOK
36-2924281,"Koch Meat Co., Inc.",1,1,"Park Ridge",COOK
36-2894128,"Howard Brown Health Center",1,1,Chicago,COOK
36-2882292,"Vietnamese Association of Illinois",1,1,Chicago,COOK
36-2880742,"Mizuho Securities USA LLC",1,1,Chicago,COOK
36-2819661,"Globetrotters Engineering Corporation",1,1,Chicago,COOK
36-2816342,"Abt Electronics",1,1,Glenview,COOK
36-2815417,"A. Finkl & Sons Co.",1,1,Chicago,COOK
36-2813264,"Willows Academy",1,1,"Des Plaines",COOK
36-2802702,"Rendell Electronics Inc",1,0,Chicago,COOK
36-2794492,"Nidec Drive Technology America Corporation",1,1,"Glendale Heights",DUPAGE
36-2792168,"Now Health Group",1,1,Bloomingdale,DUPAGE
36-2780525,"A.V.W. Equipment Co, Inc.",1,1,Maywood,COOK
36-2771634,"BUCKINGHAM PAVILION, INC.",1,1,Chicago,COOK
36-2757956,"Wiss, Janney, Elstner Associates, Inc.",1,1,Northbrook,COOK
36-2746362,"CEMCON, Ltd.",1,1,Aurora,KANE
36-2739477,"Rincon Family Services",1,1,Chicago,COOK
36-2708254,"STERLING ENGINEERING, INC.",1,1,Westchester,COOK
36-2683258,"Sally Beauty Supply LLC",1,1,"Prospect Heights",COOK
36-2682639,"The Family Institute at Northwestern University",1,1,Chicago,COOK
36-2681127,"First United Methodist Church",1,1,"Crystal Lake",MCHENRY
36-2667216,"Woodstock Sterile Solutions, Inc.",1,1,Woodstock,MCHENRY
36-2656019,"ARC Industries, Inc",1,1,Schaumburg,COOK
36-2655027,"K.R. Komarek, Inc.",1,1,"WOOD DALE",DUPAGE
36-2601300,"Panduit Corporation",1,1,"Tinley Park",COOK
36-2593545,"Erikson Institute",1,1,Chicago,COOK
36-2593135,"Follett Higher Ed Group LLC",1,1,Westchester,COOK
36-2585273,"Novaspect, Inc.",1,1,Schaumburg,COOK
36-2518901,"The Thresholds",1,1,Chicago,COOK
36-2515281,"Adler University",1,1,Chicago,COOK
36-2492854,"Euromarket Designs, Inc. (d/b/a Crate & Barrel and CB2)",1,1,Northbrook,COOK
36-2459814,"Thai Imports Limited",1,0,Chicago,COOK
36-2444076,"Anthony Marano Company",1,1,Chicago,COOK
36-2440683,"SCHNEIDER ELECTRIC USA, INC.",1,1,Evanston,COOK
36-2431905,"Central Seaway Co, Inc.",1,1,Northbrook,COOK
36-2419677,"John B. Sanfilippo and Son, Inc",1,1,Elgin,KANE
36-2408718,"CAMBURAS & THEODORE LTD.",1,1,"DES PLAINES",COOK
36-2406080,"American Society for Clinical Pathology",1,1,Chicago,COOK
36-2404865,"Hollister Incorporated",1,1,Libertyville,LAKE
36-2382848,"Metropolitan Planning Council",1,1,Chicago,COOK
36-2355856,"Aldridge Electric, Inc.",1,1,Libertyville,LAKE
36-2353598,"Marshall, Gerstein & Borun LLP",1,1,Chicago,COOK
36-2340313,"Northwest Community Hospital",1,1,"Arlington Heights",COOK
36-2332999,"Ozinga Bros., Inc.",1,1,Mokena,WILL
36-2317983,"Wheels LLC",1,1,"Des Plaines",COOK
36-2305262,"La Marche Mfg. Co.",1,1,"Des Plaines",COOK
36-2277365,"Illinois Conference of Seventh-day Adventists",1,1,Downers,DUPAGE
36-2259531,"Selfreliance Federal Credit Union",1,1,Chicago,COOK
36-2229255,"The Joint Commission",1,1,"Oakbrook Terrace",DUPAGE
36-2216167,"Lake Forest Academy",1,1,"Lake Forest",LAKE
36-2211715,"The Morey Corporation",1,1,Woodridge,DUPAGE
36-2181973,"Rosalind Franklin University of Medicine & Science",1,1,"North Chicago",LAKE
36-2170908,"Queen of Angels Catholic Elementary School",1,1,Chicago,COOK
36-2170826,"Catholic Bishop of Chicago",1,1,"Park Ridge",COOK
36-2167918,"Shedd Aquarium Scoiety",1,1,Chicago,COOK
36-2167855,"Dominican University",1,1,"River Forest",COOK
36-2167784,"Endeavor Health",1,1,Elmhurst,DUPAGE
36-2167095,"Hebrew Theological College",1,1,Skokie,COOK
36-2164842,"Chicago Transit Authority",1,1,Chicago,COOK
36-2095687,"American Metalcraft, Inc.",1,1,"Franklin Park",COOK
36-2090085,"Methode Electronics, Inc.",1,1,"Harwood Heights",COOK
36-2078465,"Chicago Blower Corporation",1,1,"Glendale Heights",DUPAGE
36-2073790,"Lawrence Foods, Inc.",1,1,"Elk Grove Village",COOK
36-2044241,"Coilcraft, Inc.",1,1,Cary,MCHENRY
36-2030325,"Xttrium Laboratories Inc.",1,1,"Mount Prospect",COOK
36-1842430,"Superior Graphite Co.",1,1,Chicago,COOK
36-1796730,"Dentons US LLP",1,1,Chicago,COOK
36-1754390,"SureWerx USA Inc.",1,1,Elgin,KANE
36-1622665,"Heico Holding, Inc",1,1,Warrenville,DUPAGE
36-1534810,"National Van Lines, Inc.",1,1,Broadview,COOK
36-1447220,"Mayer Brown LLP",1,1,Chicago,COOK
36-1368690,"LAW BULLETIN MEDIA",1,1,Chicago,COOK
36-1255545,"GN Bank",1,1,Chicago,COOK
36-1235920,"Horween Leather Company",1,1,Chicago,COOK
36-1185970,"Edwin Hancock Engineering Company",1,1,Westchester,COOK
36-0982270,"Parsons Transportation Group Inc.",1,1,Schaumburg,COOK
36-0856910,"Leo Burnett Company, Inc.",1,1,Chicago,COOK
36-0815905,"Blommer Chocolate Company",1,1,Chicago,COOK
36-0770670,"Fellowes, Inc.",1,1,Itasca,DUPAGE
35-2880931,"ALGOVORTEX INC",1,1,Aurora,DUPAGE
35-2835974,"Lexyta 5, Inc.",1,1,Chicago,COOK
35-2779521,"Entelyglobal Solutions, Inc.",1,1,Naperville,DUPAGE
35-2739626,"Modular, Inc.",1,1,Chicago,COOK
35-2651719,"Merit SI Technologies, LLC d.b.a. Merit Controls",1,1,Chicago,COOK
35-2558065,"Efficio LLC",1,1,Chicago,COOK
35-2516368,"Sigma Software Inc.",1,1,Schaumburg,COOK
35-2505921,"Sonova United States Corporate Services, LLC",1,1,Aurora,DUPAGE
35-2442886,"Falconi Consultants For Results Corp.",1,1,Chicago,COOK
35-2435965,"GoPath Laboratories, LLC",1,1,"Buffalo Grove",LAKE
35-2401077,"U.S. Net-Metrics Inc.",1,1,"Morton Grove",COOK
35-2321289,"Jacobs Project Management Company",1,1,CHICAGO,COOK
35-2203386,"TURQUOISE RESTAURANT",1,1,CHICAGO,COOK
35-2172140,"International Solutions Group, Inc.",1,1,"North Chicago",LAKE
35-2161098,"CONSIGA TECHNOLOGIES INC",1,1,Bolingbrook,DUPAGE
35-2019249,"RCR Technology Corporation",1,1,"South Elgin",KANE
35-1958205,"Ardagh Glass Inc.",1,1,Chicago,COOK
35-1840597,"National Government Services, Inc.",1,1,Chicago,COOK
35-1112760,"Hitachi Global Air Power US, LLC",1,1,Chicago,COOK
35-1044585,"ALSAC/St. Jude Children's Research Hospital",1,1,Aurora,DUPAGE
35-0785336,"Hunt Construction Group, Inc. (AECOM Hunt)",1,1,Chicago,COOK
35-0470950,"Eli Lilly and Company",1,1,"Glen Ellyn",DUPAGE
35-0257090,"Cummins Inc.",1,1,CHICAGO,COOK
34-2019608,"InvenTrust Properties Corp",1,1,"Downers Grove",DUPAGE
34-2015463,"Mercer Health & Benefits LLC",1,1,Chicago,COOK
34-1992898,"IPOX Schuster LLC",1,1,Chicago,COOK
34-1982378,"Keshav Consulting Solutions LLC",1,1,Chicago,COOK
34-1953397,"Harbor Capital Advisors, Inc.",1,1,Chicago,COOK
34-1817368,"Brown Gibbons Lang & Company LLC",1,1,Chicago,COOK
34-1747654,"SPA Performance, Inc.",1,1,Naperville,WILL
34-1729033,"Onix Networking Corp.",1,1,Chicago,COOK
34-1678801,"National Safety Apparel LLC",1,1,Chicago,COOK
34-1569688,"Electronic Merchant Systems, LLC",1,1,"Oakbrook Terrace",DUPAGE
34-1404302,"National Youth Advocate Program Inc.",1,1,MATTESON,COOK
34-1191723,"Magneco/Metrel, Inc.",1,1,Deerfield,LAKE
34-1189774,"GRL Engineers, Inc",1,1,Lincolnwood,COOK
34-0526850,"The Sherwin-Williams Company",1,1,"Long Grove",LAKE
34-0451060,"Parker Hannifin Corporation",1,1,Elgin,COOK
34-0196300,"Eaton Corporation",1,1,"Carol Stream",DUPAGE
33-4089143,"Serenity Psychiatry PLLC",1,1,Chicago,COOK
33-4020869,"SiCera LLC",1,1,Chicago,COOK
33-4006806,"Clic Haus Co.",1,1,Chicago,COOK
33-4005301,"LEX VERITAS LLC",1,1,CHICAGO,COOK
33-3691075,"Thrive Dental P.C.",1,1,Skokie,COOK
33-3646467,"Aerion Capital LLC",1,1,Wilmette,COOK
33-2901587,"Hexios, Inc.",1,1,Chicago,COOK
33-2474686,"Resonate Technologies LLC",1,0,Chicago,COOK
33-2455333,"TECHQUEST SOLUTIONS, LLC.",1,1,Chicago,COOK
33-1984810,"KITCHENCREST CABINETS WISCONSIN LLC",1,1,"Melrose Park",COOK
33-1821957,"Slesha IT Solutions Inc",1,1,CHICAGO,COOK
33-1804063,"COREAA LLC",1,1,Chicago,COOK
33-1594976,"Sidq Consulting LLC",1,1,"Oakbrook Terrace",DUPAGE
33-1290785,"Qubitsys LLC",1,1,Bensenville,DUPAGE
33-1228002,"Roncadin, Inc.",1,1,"Vernon Hills",LAKE
33-1218972,"CRRC Sifang America Incorporated",1,1,Chicago,COOK
33-0867496,"Cyient, Inc.",1,1,Naperville,DUPAGE
33-0848300,"AccentCare, Inc.",1,1,Rosemont,COOK
33-0846191,"Collectors Universe, Inc.",1,1,Chicago,COOK
33-0843318,"Yodlee, Inc.",1,1,Chicago,COOK
33-0804655,"Illumina, Inc.",1,1,Naperville,WILL
33-0799296,"RJT Compuquest Inc. dba Apolis",1,1,Chicago,COOK
33-0796737,"Experian Services Corporation",1,1,Chicago,COOK
33-0762869,"CALIFORNIA CREATIVE SOLUTIONS, INC.",1,1,Chicago,COOK
33-0761159,"Cognizant TriZetto Software Group, Inc.",1,1,Naperville,DUPAGE
33-0174996,"Viasat Inc.",1,1,"Vernon Hills",LAKE
33-0087345,"Keyence Corporation of America",1,1,Itasca,DUPAGE
33-0022692,"ICU Medical, Inc.",1,1,"Des Plaines",COOK
32-0674510,"3Keys Inc",1,1,"Rolling Meadows",COOK
32-0661321,"JKC IT Solutions Inc",1,1,Chicago,COOK
32-0587766,"HUNGRYPANDA US INC.",1,1,Chicago,COOK
32-0539072,"Crimson Progress Group LLC",1,1,Naperville,DUPAGE
32-0480267,"TriNet USA, Inc.",1,1,Deerfield,LAKE
32-0474201,"CA Consulting LLC",1,1,Chicago,COOK
32-0467158,"Radian Electric LLC",1,1,"Buffalo Grove",COOK
32-0450447,"Annata Dynamics USA Inc.",1,1,PLAINFIELD,WILL
32-0394877,"Alter Domus Inc.",1,1,Chicago,COOK
32-0368502,"Strata Decision Technology, LLC",1,1,Chicago,COOK
32-0278281,"Accel Construction Services Group, LLC",1,1,Chicago,COOK
32-0167308,"Hellenic American Academy MFP",1,1,Deefield,LAKE
32-0116528,"WestRock Services, LLC",1,1,"Carol Stream",DUPAGE
32-0066582,"NOMIS ENTERPRISES, INC",1,1,Chicago,COOK
32-0045032,"R.G.U.S., INC.",1,1,NORTHBROOK,COOK
32-0040688,"Kenyeri Consulting, LLC",1,1,"Downers Grove",DUPAGE
31-6025986,"The Ohio State University",1,1,Chicago,COOK
31-6000989,"UNIVERSITY OF CINCINNATI",1,1,Batavia,KANE
31-1786871,"Inteliquent Inc.",1,1,Palatine,COOK
31-1776636,"Centric Consulting, LLC",1,1,Naperville,DUPAGE
31-1437187,"NetJets Services Inc.",1,0,Aurora,DUPAGE
31-1339854,"Luxottica of America Inc.",1,1,Frankfort,WILL
31-1268981,"DLZ Corporation",1,1,Chicago,COOK
30-1400476,"North American Cargo, Inc",1,1,"Elk Grove Village",DUPAGE
30-1332464,"Vivace Pact Technologies Inc",1,1,Chicago,COOK
30-1212189,"Doral Renewables, LLC",1,1,Chicago,COOK
30-1211139,"ULSE, Inc.",1,1,Evanston,COOK
30-0889788,"JOYALUKKAS JEWELRY ILLINOIS INC.",1,1,CHICAGO,COOK
30-0767622,"BMA Enterprises Inc.",1,1,"Wood Dale",DUPAGE
30-0649346,"NITE OWL PRINTS LLC",1,1,Lombard,DUPAGE
30-0588666,"Cetera Financial Group, Inc.",1,1,Schaumburg,COOK
